name,step,baseline_n,treatment_n,baseline_mean,treatment_mean,mean_diff,percent_change,baseline_std,treatment_std,t_statistic,p_value,significant,cohens_d,time_baseline_mean_ms,time_treatment_mean_ms,time_diff_ms
p2_focal,500,4,3,3.91905,4.257466666666667,0.3384166666666668,8.635170938535278,0.002436527583810059,0.007536798613027262,74.89255457730323,5.680755737834232e-05,True,66.01027195035172,138391.25,124214.66666666667,-14176.583333333328
p2_log,500,4,3,3.91905,4.269666666666667,0.3506166666666668,8.946470870916851,0.002436527583810059,0.005412331598611776,104.54014672280096,8.310927143885166e-06,True,89.69750309735132,138391.25,123220.66666666667,-15170.583333333328
p2_sqrt,500,4,3,3.91905,4.282733333333333,0.3636833333333329,9.279885006145186,0.002436527583810059,0.0027934447074055646,179.93373836106042,4.591283469124927e-09,True,140.6782113328407,138391.25,123587.66666666667,-14803.583333333328
p2_linear,500,4,3,3.91905,4.358466666666667,0.4394166666666668,11.212326116448294,0.002436527583810059,0.01884471632403441,40.13672240936987,0.0005325316014189601,True,36.41488442960752,138391.25,121050.0,-17341.25
