
======================================================================
RUNNING ALL EXPERIMENTS
Total experiments: 19
Total runs: 1000
Estimated time: ~66.7 minutes (at 4s/run)
======================================================================


######################################################################
# EXPERIMENT: baseline
# Baseline: unmodified airbench94
# Runs: 100
######################################################################


============================================================
Experiment: baseline_ec2132ab
Timestamp: 2025-12-08T21:23:26.463225
Config overrides: None
Number of runs: 100
============================================================

------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|      29  |      0  |      1.5791  |     0.6250  |   0.5856  |               |              0.4587  |
|          |      1  |      1.4141  |     0.7246  |   0.6783  |               |              0.9212  |
|          |      2  |      1.2617  |     0.8018  |   0.7383  |               |              1.3781  |
|          |      3  |      1.2500  |     0.8057  |   0.7817  |               |              1.8157  |
|          |      4  |      1.1885  |     0.8467  |   0.8112  |               |              2.2539  |
|          |      5  |      1.1562  |     0.8604  |   0.8228  |               |              2.6893  |
|          |      6  |      1.1123  |     0.8887  |   0.8643  |               |              3.1274  |
|          |      7  |      1.0781  |     0.9092  |   0.8781  |               |              3.5617  |
|          |      8  |      1.0146  |     0.9453  |   0.9028  |               |              3.9997  |
|          |      9  |      0.9702  |     0.9736  |   0.9182  |               |              4.4001  |
|          |   eval  |      0.9702  |     0.9736  |   0.9182  |       0.9258  |              4.5884  |
------------------------------------------------------------------------------------------------------
|      30  |      0  |      1.6465  |     0.5664  |   0.5505  |               |              0.4600  |
|          |      1  |      1.4102  |     0.7148  |   0.6070  |               |              0.9206  |
|          |      2  |      1.2832  |     0.8047  |   0.7557  |               |              1.3786  |
|          |      3  |      1.2402  |     0.8145  |   0.7448  |               |              1.8145  |
|          |      4  |      1.1875  |     0.8447  |   0.7959  |               |              2.2506  |
|          |      5  |      1.1426  |     0.8711  |   0.8315  |               |              2.6874  |
|          |      6  |      1.0996  |     0.9004  |   0.8638  |               |              3.1253  |
|          |      7  |      1.0781  |     0.9131  |   0.8528  |               |              3.5621  |
|          |      8  |      1.0137  |     0.9482  |   0.9013  |               |              3.9989  |
|          |      9  |      0.9717  |     0.9727  |   0.9149  |               |              4.3982  |
|          |   eval  |      0.9717  |     0.9727  |   0.9149  |       0.9254  |              4.5848  |
------------------------------------------------------------------------------------------------------
|      31  |      0  |      1.6230  |     0.5938  |   0.5692  |               |              0.4573  |
|          |      1  |      1.3711  |     0.7363  |   0.6786  |               |              0.9189  |
|          |      2  |      1.2695  |     0.8066  |   0.7137  |               |              1.3790  |
|          |      3  |      1.2314  |     0.8252  |   0.7404  |               |              1.8140  |
|          |      4  |      1.2236  |     0.8184  |   0.7752  |               |              2.2507  |
|          |      5  |      1.1221  |     0.8848  |   0.8204  |               |              2.6868  |
|          |      6  |      1.1094  |     0.8799  |   0.8430  |               |              3.1246  |
|          |      7  |      1.0732  |     0.9141  |   0.8753  |               |              3.5615  |
|          |      8  |      1.0195  |     0.9395  |   0.9070  |               |              3.9972  |
|          |      9  |      0.9819  |     0.9648  |   0.9153  |               |              4.3987  |
|          |   eval  |      0.9819  |     0.9648  |   0.9153  |       0.9215  |              4.5858  |
------------------------------------------------------------------------------------------------------
|      32  |      0  |      1.5469  |     0.6416  |   0.4768  |               |              0.4590  |
|          |      1  |      1.3545  |     0.7568  |   0.6237  |               |              0.9211  |
|          |      2  |      1.2607  |     0.8037  |   0.7448  |               |              1.3810  |
|          |      3  |      1.2607  |     0.8096  |   0.7406  |               |              1.8181  |
|          |      4  |      1.1777  |     0.8428  |   0.8307  |               |              2.2548  |
|          |      5  |      1.1650  |     0.8662  |   0.8561  |               |              2.6915  |
|          |      6  |      1.0879  |     0.9043  |   0.8730  |               |              3.1287  |
|          |      7  |      1.0781  |     0.9111  |   0.8683  |               |              3.5660  |
|          |      8  |      1.0098  |     0.9453  |   0.9004  |               |              4.0036  |
|          |      9  |      0.9805  |     0.9658  |   0.9172  |               |              4.4031  |
|          |   eval  |      0.9805  |     0.9658  |   0.9172  |       0.9238  |              4.5907  |
------------------------------------------------------------------------------------------------------
|      33  |      0  |      1.6260  |     0.5820  |   0.5166  |               |              0.4599  |
|          |      1  |      1.3604  |     0.7627  |   0.7046  |               |              0.9203  |
|          |      2  |      1.3018  |     0.7783  |   0.7348  |               |              1.3794  |
|          |      3  |      1.2178  |     0.8389  |   0.7693  |               |              1.8169  |
|          |      4  |      1.2041  |     0.8389  |   0.8015  |               |              2.2519  |
|          |      5  |      1.1660  |     0.8604  |   0.8396  |               |              2.6882  |
|          |      6  |      1.0771  |     0.9033  |   0.8609  |               |              3.1244  |
|          |      7  |      1.0732  |     0.9033  |   0.8622  |               |              3.5624  |
|          |      8  |      1.0186  |     0.9404  |   0.9069  |               |              3.9986  |
|          |      9  |      0.9829  |     0.9629  |   0.9182  |               |              4.3996  |
|          |   eval  |      0.9829  |     0.9629  |   0.9182  |       0.9257  |              4.5867  |
------------------------------------------------------------------------------------------------------
|      34  |      0  |      1.5869  |     0.6172  |   0.5503  |               |              0.4594  |
|          |      1  |      1.4150  |     0.7158  |   0.6245  |               |              0.9190  |
|          |      2  |      1.2871  |     0.7910  |   0.7414  |               |              1.3766  |
|          |      3  |      1.2471  |     0.8115  |   0.7798  |               |              1.8157  |
|          |      4  |      1.2227  |     0.8281  |   0.7974  |               |              2.2512  |
|          |      5  |      1.1582  |     0.8633  |   0.8180  |               |              2.6869  |
|          |      6  |      1.1025  |     0.8955  |   0.8559  |               |              3.1240  |
|          |      7  |      1.0869  |     0.8887  |   0.8736  |               |              3.5613  |
|          |      8  |      1.0234  |     0.9443  |   0.9040  |               |              3.9985  |
|          |      9  |      0.9751  |     0.9717  |   0.9151  |               |              4.4002  |
|          |   eval  |      0.9751  |     0.9717  |   0.9151  |       0.9249  |              4.5886  |
------------------------------------------------------------------------------------------------------
|      35  |      0  |      1.5615  |     0.6260  |   0.5833  |               |              0.4600  |
|          |      1  |      1.3896  |     0.7256  |   0.6021  |               |              0.9203  |
|          |      2  |      1.2910  |     0.7861  |   0.7381  |               |              1.3792  |
|          |      3  |      1.2324  |     0.8154  |   0.7981  |               |              1.8160  |
|          |      4  |      1.1895  |     0.8477  |   0.8299  |               |              2.2528  |
|          |      5  |      1.1562  |     0.8613  |   0.8412  |               |              2.6870  |
|          |      6  |      1.1084  |     0.9023  |   0.8620  |               |              3.1240  |
|          |      7  |      1.0781  |     0.9141  |   0.8787  |               |              3.5615  |
|          |      8  |      1.0127  |     0.9404  |   0.9030  |               |              3.9979  |
|          |      9  |      0.9873  |     0.9629  |   0.9155  |               |              4.3988  |
|          |   eval  |      0.9873  |     0.9629  |   0.9155  |       0.9235  |              4.5855  |
------------------------------------------------------------------------------------------------------
|      36  |      0  |      1.5840  |     0.6055  |   0.5976  |               |              0.4588  |
|          |      1  |      1.3760  |     0.7354  |   0.6543  |               |              0.9204  |
|          |      2  |      1.3115  |     0.7754  |   0.7589  |               |              1.3789  |
|          |      3  |      1.2109  |     0.8379  |   0.7348  |               |              1.8152  |
|          |      4  |      1.1797  |     0.8506  |   0.8182  |               |              2.2521  |
|          |      5  |      1.1562  |     0.8643  |   0.8303  |               |              2.6876  |
|          |      6  |      1.1191  |     0.8828  |   0.8458  |               |              3.1256  |
|          |      7  |      1.0684  |     0.9111  |   0.8853  |               |              3.5630  |
|          |      8  |      1.0127  |     0.9395  |   0.8997  |               |              3.9993  |
|          |      9  |      0.9722  |     0.9736  |   0.9180  |               |              4.4013  |
|          |   eval  |      0.9722  |     0.9736  |   0.9180  |       0.9256  |              4.5883  |
------------------------------------------------------------------------------------------------------
|      37  |      0  |      1.5811  |     0.5947  |   0.6146  |               |              0.4606  |
|          |      1  |      1.4277  |     0.6992  |   0.5898  |               |              0.9202  |
|          |      2  |      1.2988  |     0.7754  |   0.7640  |               |              1.3792  |
|          |      3  |      1.2158  |     0.8311  |   0.8096  |               |              1.8174  |
|          |      4  |      1.2568  |     0.8203  |   0.8060  |               |              2.2526  |
|          |      5  |      1.1562  |     0.8789  |   0.8254  |               |              2.6899  |
|          |      6  |      1.1074  |     0.9023  |   0.8506  |               |              3.1268  |
|          |      7  |      1.0889  |     0.8975  |   0.8739  |               |              3.5647  |
|          |      8  |      1.0254  |     0.9375  |   0.9050  |               |              4.0007  |
|          |      9  |      0.9727  |     0.9727  |   0.9154  |               |              4.4019  |
|          |   eval  |      0.9727  |     0.9727  |   0.9154  |       0.9232  |              4.5888  |
------------------------------------------------------------------------------------------------------
|      38  |      0  |      1.5791  |     0.6094  |   0.5720  |               |              0.4601  |
|          |      1  |      1.4033  |     0.7246  |   0.6536  |               |              0.9208  |
|          |      2  |      1.2598  |     0.8057  |   0.7478  |               |              1.3787  |
|          |      3  |      1.2246  |     0.8311  |   0.7934  |               |              1.8159  |
|          |      4  |      1.1934  |     0.8340  |   0.7984  |               |              2.2519  |
|          |      5  |      1.1543  |     0.8721  |   0.7891  |               |              2.6899  |
|          |      6  |      1.1035  |     0.9014  |   0.8600  |               |              3.1272  |
|          |      7  |      1.0869  |     0.9082  |   0.8729  |               |              3.5633  |
|          |      8  |      1.0068  |     0.9609  |   0.9041  |               |              4.0005  |
|          |      9  |      0.9790  |     0.9688  |   0.9139  |               |              4.4012  |
|          |   eval  |      0.9790  |     0.9688  |   0.9139  |       0.9254  |              4.5885  |
------------------------------------------------------------------------------------------------------
|      39  |      0  |      1.5566  |     0.6309  |   0.5727  |               |              0.4598  |
|          |      1  |      1.3799  |     0.7197  |   0.7133  |               |              0.9216  |
|          |      2  |      1.2871  |     0.7881  |   0.7267  |               |              1.3792  |
|          |      3  |      1.2422  |     0.8076  |   0.7143  |               |              1.8155  |
|          |      4  |      1.1709  |     0.8564  |   0.8171  |               |              2.2506  |
|          |      5  |      1.1562  |     0.8691  |   0.8355  |               |              2.6879  |
|          |      6  |      1.0977  |     0.9004  |   0.8571  |               |              3.1256  |
|          |      7  |      1.0488  |     0.9365  |   0.8883  |               |              3.5631  |
|          |      8  |      1.0234  |     0.9326  |   0.8992  |               |              3.9990  |
|          |      9  |      0.9766  |     0.9697  |   0.9161  |               |              4.4005  |
|          |   eval  |      0.9766  |     0.9697  |   0.9161  |       0.9215  |              4.5886  |
------------------------------------------------------------------------------------------------------
|      40  |      0  |      1.6543  |     0.5742  |   0.5494  |               |              0.4606  |
|          |      1  |      1.3623  |     0.7490  |   0.6517  |               |              0.9217  |
|          |      2  |      1.2842  |     0.7988  |   0.7038  |               |              1.3799  |
|          |      3  |      1.2480  |     0.7998  |   0.7398  |               |              1.8178  |
|          |      4  |      1.1855  |     0.8496  |   0.8146  |               |              2.2530  |
|          |      5  |      1.1445  |     0.8604  |   0.8201  |               |              2.6899  |
|          |      6  |      1.0928  |     0.9033  |   0.8633  |               |              3.1281  |
|          |      7  |      1.0645  |     0.9199  |   0.8750  |               |              3.5640  |
|          |      8  |      1.0127  |     0.9375  |   0.9048  |               |              4.0019  |
|          |      9  |      0.9756  |     0.9688  |   0.9152  |               |              4.4024  |
|          |   eval  |      0.9756  |     0.9688  |   0.9152  |       0.9250  |              4.5909  |
------------------------------------------------------------------------------------------------------
|      41  |      0  |      1.5439  |     0.6445  |   0.5405  |               |              0.4597  |
|          |      1  |      1.3770  |     0.7451  |   0.6941  |               |              0.9197  |
|          |      2  |      1.3027  |     0.7744  |   0.6447  |               |              1.3795  |
|          |      3  |      1.2578  |     0.7998  |   0.7828  |               |              1.8156  |
|          |      4  |      1.1953  |     0.8457  |   0.8250  |               |              2.2531  |
|          |      5  |      1.1602  |     0.8672  |   0.8155  |               |              2.6897  |
|          |      6  |      1.1074  |     0.8975  |   0.8624  |               |              3.1263  |
|          |      7  |      1.0762  |     0.9111  |   0.8800  |               |              3.5635  |
|          |      8  |      1.0049  |     0.9502  |   0.9068  |               |              3.9999  |
|          |      9  |      0.9834  |     0.9658  |   0.9175  |               |              4.4009  |
|          |   eval  |      0.9834  |     0.9658  |   0.9175  |       0.9235  |              4.5886  |
------------------------------------------------------------------------------------------------------
|      42  |      0  |      1.5908  |     0.6074  |   0.5782  |               |              0.4611  |
|          |      1  |      1.4443  |     0.7041  |   0.5327  |               |              0.9224  |
|          |      2  |      1.2998  |     0.7881  |   0.7458  |               |              1.3815  |
|          |      3  |      1.2344  |     0.8271  |   0.7719  |               |              1.8185  |
|          |      4  |      1.2207  |     0.8330  |   0.8312  |               |              2.2559  |
|          |      5  |      1.1475  |     0.8604  |   0.8176  |               |              2.6917  |
|          |      6  |      1.1172  |     0.8838  |   0.8727  |               |              3.1289  |
|          |      7  |      1.0723  |     0.9180  |   0.8764  |               |              3.5657  |
|          |      8  |      1.0098  |     0.9541  |   0.9013  |               |              4.0032  |
|          |      9  |      0.9756  |     0.9658  |   0.9136  |               |              4.4058  |
|          |   eval  |      0.9756  |     0.9658  |   0.9136  |       0.9222  |              4.5915  |
------------------------------------------------------------------------------------------------------
|      43  |      0  |      1.6221  |     0.5869  |   0.5829  |               |              0.4582  |
|          |      1  |      1.3613  |     0.7412  |   0.6562  |               |              0.9214  |
|          |      2  |      1.3213  |     0.7744  |   0.7176  |               |              1.3807  |
|          |      3  |      1.2139  |     0.8438  |   0.7644  |               |              1.8170  |
|          |      4  |      1.2012  |     0.8496  |   0.8167  |               |              2.2544  |
|          |      5  |      1.1758  |     0.8555  |   0.8336  |               |              2.6911  |
|          |      6  |      1.0928  |     0.8975  |   0.8571  |               |              3.1287  |
|          |      7  |      1.0674  |     0.9092  |   0.8661  |               |              3.5644  |
|          |      8  |      1.0078  |     0.9502  |   0.9075  |               |              4.0026  |
|          |      9  |      0.9785  |     0.9717  |   0.9165  |               |              4.4026  |
|          |   eval  |      0.9785  |     0.9717  |   0.9165  |       0.9240  |              4.5906  |
------------------------------------------------------------------------------------------------------
|      44  |      0  |      1.5898  |     0.6064  |   0.5705  |               |              0.4584  |
|          |      1  |      1.4307  |     0.7041  |   0.6374  |               |              0.9209  |
|          |      2  |      1.2656  |     0.8018  |   0.7268  |               |              1.3778  |
|          |      3  |      1.2314  |     0.8125  |   0.8072  |               |              1.8156  |
|          |      4  |      1.2236  |     0.8408  |   0.8004  |               |              2.2532  |
|          |      5  |      1.1455  |     0.8721  |   0.8127  |               |              2.6891  |
|          |      6  |      1.1094  |     0.8867  |   0.8532  |               |              3.1269  |
|          |      7  |      1.0498  |     0.9326  |   0.8644  |               |              3.5626  |
|          |      8  |      1.0137  |     0.9521  |   0.9056  |               |              3.9991  |
|          |      9  |      0.9692  |     0.9717  |   0.9129  |               |              4.3999  |
|          |   eval  |      0.9692  |     0.9717  |   0.9129  |       0.9233  |              4.5879  |
------------------------------------------------------------------------------------------------------
|      45  |      0  |      1.5332  |     0.6309  |   0.5956  |               |              0.4993  |
|          |      1  |      1.3809  |     0.7256  |   0.6834  |               |              0.9602  |
|          |      2  |      1.2617  |     0.8105  |   0.7136  |               |              1.4174  |
|          |      3  |      1.2422  |     0.8213  |   0.7957  |               |              1.8541  |
|          |      4  |      1.1885  |     0.8369  |   0.8075  |               |              2.2897  |
|          |      5  |      1.1631  |     0.8633  |   0.7970  |               |              2.7274  |
|          |      6  |      1.0957  |     0.8984  |   0.8669  |               |              3.1636  |
|          |      7  |      1.0605  |     0.9209  |   0.8643  |               |              3.6019  |
|          |      8  |      1.0244  |     0.9443  |   0.8990  |               |              4.0383  |
|          |      9  |      0.9873  |     0.9619  |   0.9156  |               |              4.4383  |
|          |   eval  |      0.9873  |     0.9619  |   0.9156  |       0.9239  |              4.6261  |
------------------------------------------------------------------------------------------------------
|      46  |      0  |      1.5654  |     0.6104  |   0.5436  |               |              0.5264  |
|          |      1  |      1.3740  |     0.7354  |   0.5912  |               |              0.9871  |
|          |      2  |      1.2861  |     0.7832  |   0.6557  |               |              1.4454  |
|          |      3  |      1.2627  |     0.8066  |   0.7712  |               |              1.8824  |
|          |      4  |      1.2256  |     0.8203  |   0.7913  |               |              2.3173  |
|          |      5  |      1.1797  |     0.8428  |   0.8020  |               |              2.7541  |
|          |      6  |      1.1016  |     0.8916  |   0.8697  |               |              3.1917  |
|          |      7  |      1.0703  |     0.9111  |   0.8796  |               |              3.6285  |
|          |      8  |      1.0273  |     0.9385  |   0.9080  |               |              4.0652  |
|          |      9  |      0.9800  |     0.9707  |   0.9187  |               |              4.4661  |
|          |   eval  |      0.9800  |     0.9707  |   0.9187  |       0.9235  |              4.6534  |
------------------------------------------------------------------------------------------------------
|      47  |      0  |      1.6289  |     0.5928  |   0.4737  |               |              0.4591  |
|          |      1  |      1.3965  |     0.7236  |   0.7126  |               |              0.9201  |
|          |      2  |      1.3135  |     0.7754  |   0.7074  |               |              1.3790  |
|          |      3  |      1.2412  |     0.8203  |   0.7848  |               |              1.8144  |
|          |      4  |      1.2031  |     0.8398  |   0.7883  |               |              2.2515  |
|          |      5  |      1.1689  |     0.8604  |   0.8403  |               |              2.6895  |
|          |      6  |      1.1104  |     0.8926  |   0.8717  |               |              3.1256  |
|          |      7  |      1.0645  |     0.9170  |   0.8763  |               |              3.5626  |
|          |      8  |      1.0205  |     0.9463  |   0.9060  |               |              3.9984  |
|          |      9  |      0.9790  |     0.9678  |   0.9109  |               |              4.3994  |
|          |   eval  |      0.9790  |     0.9678  |   0.9109  |       0.9236  |              4.5863  |
------------------------------------------------------------------------------------------------------
|      48  |      0  |      1.6230  |     0.5830  |   0.5130  |               |              0.4579  |
|          |      1  |      1.3613  |     0.7422  |   0.5742  |               |              0.9216  |
|          |      2  |      1.2783  |     0.8066  |   0.7576  |               |              1.3780  |
|          |      3  |      1.2344  |     0.8193  |   0.7440  |               |              1.8154  |
|          |      4  |      1.1943  |     0.8535  |   0.7678  |               |              2.2529  |
|          |      5  |      1.1787  |     0.8506  |   0.8080  |               |              2.6889  |
|          |      6  |      1.1006  |     0.9004  |   0.8676  |               |              3.1296  |
|          |      7  |      1.0771  |     0.8994  |   0.8776  |               |              3.5643  |
|          |      8  |      1.0293  |     0.9385  |   0.9084  |               |              4.0013  |
|          |      9  |      0.9800  |     0.9678  |   0.9209  |               |              4.4019  |
|          |   eval  |      0.9800  |     0.9678  |   0.9209  |       0.9262  |              4.5875  |
------------------------------------------------------------------------------------------------------
|      49  |      0  |      1.5791  |     0.5918  |   0.5302  |               |              0.5157  |
|          |      1  |      1.3438  |     0.7461  |   0.6841  |               |              0.9775  |
|          |      2  |      1.2627  |     0.8027  |   0.6777  |               |              1.4354  |
|          |      3  |      1.2354  |     0.8203  |   0.7596  |               |              1.8734  |
|          |      4  |      1.1963  |     0.8428  |   0.7948  |               |              2.3096  |
|          |      5  |      1.1572  |     0.8652  |   0.8405  |               |              2.7453  |
|          |      6  |      1.1084  |     0.8877  |   0.8779  |               |              3.1825  |
|          |      7  |      1.0752  |     0.9043  |   0.8850  |               |              3.6194  |
|          |      8  |      1.0156  |     0.9414  |   0.9034  |               |              4.0562  |
|          |      9  |      0.9697  |     0.9678  |   0.9131  |               |              4.4568  |
|          |   eval  |      0.9697  |     0.9678  |   0.9131  |       0.9225  |              4.6442  |
------------------------------------------------------------------------------------------------------

============================================================
RESULTS: Q1_kernel_1x1_b4ddb0a0
Accuracy: 0.9239 ± 0.0015
Time:     4.6965 ± 0.6894 seconds
============================================================

Results saved to: experiment_logs/Q1_kernel_1x1_b4ddb0a0

######################################################################
# EXPERIMENT: Q1_kernel_3x3
# Q1: Whitening kernel size 3x3
# Runs: 50
######################################################################


============================================================
Experiment: Q1_kernel_3x3_fd9e8fc4
Timestamp: 2025-12-08T21:35:36.765559
Config overrides: {'whiten': {'kernel_size': 3}}
Number of runs: 50
============================================================

------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.3828  |     0.7354  |   0.7082  |               |              2.1356  |
|          |      1  |      1.2617  |     0.8145  |   0.7390  |               |              2.6693  |
|          |      2  |      1.2207  |     0.8184  |   0.7717  |               |              3.2045  |
|          |      3  |      1.1670  |     0.8623  |   0.8309  |               |              3.6692  |
|          |      4  |      1.1270  |     0.8750  |   0.8390  |               |              4.1332  |
|          |      5  |      1.0762  |     0.9023  |   0.8500  |               |              4.5970  |
|          |      6  |      1.0322  |     0.9326  |   0.8822  |               |              5.0603  |
|          |      7  |      1.0273  |     0.9268  |   0.8974  |               |              5.5250  |
|          |      8  |      0.9683  |     0.9658  |   0.9221  |               |              5.9881  |
|          |      9  |      0.9541  |     0.9736  |   0.9294  |               |              6.4148  |
|          |   eval  |      0.9541  |     0.9736  |   0.9294  |       0.9399  |              6.6577  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.5488  |     0.6191  |   0.5930  |               |              0.5394  |
|          |      1  |      1.2461  |     0.8086  |   0.7267  |               |              1.0771  |
|          |      2  |      1.2021  |     0.8389  |   0.7778  |               |              1.6110  |
|          |      3  |      1.1572  |     0.8623  |   0.8176  |               |              2.0773  |
|          |      4  |      1.1152  |     0.8770  |   0.8475  |               |              2.5423  |
|          |      5  |      1.1055  |     0.8799  |   0.8469  |               |              3.0068  |
|          |      6  |      1.0410  |     0.9160  |   0.8811  |               |              3.4721  |
|          |      7  |      1.0312  |     0.9248  |   0.8848  |               |              3.9363  |
|          |      8  |      0.9619  |     0.9658  |   0.9235  |               |              4.4009  |
|          |      9  |      0.9478  |     0.9756  |   0.9316  |               |              4.8264  |
|          |   eval  |      0.9478  |     0.9756  |   0.9316  |       0.9398  |              5.0692  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4463  |     0.7021  |   0.6629  |               |              0.6047  |
|          |      1  |      1.2646  |     0.8037  |   0.7590  |               |              1.1471  |
|          |      2  |      1.1738  |     0.8564  |   0.7148  |               |              1.6777  |
|          |      3  |      1.1338  |     0.8721  |   0.8046  |               |              2.1477  |
|          |      4  |      1.1221  |     0.8838  |   0.8457  |               |              2.6090  |
|          |      5  |      1.1113  |     0.8799  |   0.8287  |               |              3.0775  |
|          |      6  |      1.0459  |     0.9141  |   0.8957  |               |              3.5394  |
|          |      7  |      1.0234  |     0.9258  |   0.8952  |               |              4.0077  |
|          |      8  |      0.9756  |     0.9619  |   0.9184  |               |              4.4700  |
|          |      9  |      0.9487  |     0.9736  |   0.9304  |               |              4.8990  |
|          |   eval  |      0.9487  |     0.9736  |   0.9304  |       0.9386  |              5.1413  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4365  |     0.7012  |   0.6418  |               |              0.6100  |
|          |      1  |      1.3115  |     0.7803  |   0.7249  |               |              1.1500  |
|          |      2  |      1.2266  |     0.8164  |   0.8197  |               |              1.6810  |
|          |      3  |      1.1572  |     0.8633  |   0.7687  |               |              2.1502  |
|          |      4  |      1.1631  |     0.8594  |   0.8211  |               |              2.6134  |
|          |      5  |      1.0908  |     0.8955  |   0.8440  |               |              3.0822  |
|          |      6  |      1.0664  |     0.9062  |   0.8831  |               |              3.5449  |
|          |      7  |      1.0088  |     0.9355  |   0.9042  |               |              4.0138  |
|          |      8  |      0.9639  |     0.9648  |   0.9212  |               |              4.4761  |
|          |      9  |      0.9429  |     0.9775  |   0.9329  |               |              4.9057  |
|          |   eval  |      0.9429  |     0.9775  |   0.9329  |       0.9404  |              5.1484  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4746  |     0.6777  |   0.6517  |               |              0.6069  |
|          |      1  |      1.3125  |     0.7705  |   0.6661  |               |              1.1475  |
|          |      2  |      1.1895  |     0.8467  |   0.7892  |               |              1.6797  |
|          |      3  |      1.1816  |     0.8525  |   0.7858  |               |              2.1484  |
|          |      4  |      1.1221  |     0.8701  |   0.8558  |               |              2.6098  |
|          |      5  |      1.0986  |     0.8984  |   0.8682  |               |              3.0780  |
|          |      6  |      1.0488  |     0.9170  |   0.8956  |               |              3.5404  |
|          |      7  |      1.0195  |     0.9365  |   0.9036  |               |              4.0062  |
|          |      8  |      0.9604  |     0.9727  |   0.9244  |               |              4.4700  |
|          |      9  |      0.9409  |     0.9795  |   0.9340  |               |              4.8981  |
|          |   eval  |      0.9409  |     0.9795  |   0.9340  |       0.9409  |              5.1420  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4102  |     0.7119  |   0.6634  |               |              0.5375  |
|          |      1  |      1.2695  |     0.7959  |   0.7063  |               |              1.0744  |
|          |      2  |      1.2031  |     0.8428  |   0.7983  |               |              1.6084  |
|          |      3  |      1.1416  |     0.8643  |   0.8299  |               |              2.0749  |
|          |      4  |      1.1377  |     0.8604  |   0.8279  |               |              2.5378  |
|          |      5  |      1.1299  |     0.8721  |   0.8619  |               |              3.0029  |
|          |      6  |      1.0498  |     0.9180  |   0.8980  |               |              3.4684  |
|          |      7  |      1.0049  |     0.9463  |   0.8982  |               |              3.9329  |
|          |      8  |      0.9673  |     0.9619  |   0.9193  |               |              4.3970  |
|          |      9  |      0.9453  |     0.9727  |   0.9336  |               |              4.8234  |
|          |   eval  |      0.9453  |     0.9727  |   0.9336  |       0.9415  |              5.0666  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4316  |     0.7021  |   0.6703  |               |              0.5345  |
|          |      1  |      1.2539  |     0.8066  |   0.7812  |               |              1.0753  |
|          |      2  |      1.1826  |     0.8555  |   0.8197  |               |              1.6100  |
|          |      3  |      1.1719  |     0.8486  |   0.7406  |               |              2.0755  |
|          |      4  |      1.1426  |     0.8672  |   0.7851  |               |              2.5394  |
|          |      5  |      1.1016  |     0.8828  |   0.8410  |               |              3.0041  |
|          |      6  |      1.0439  |     0.9180  |   0.8893  |               |              3.4685  |
|          |      7  |      1.0186  |     0.9287  |   0.9017  |               |              3.9332  |
|          |      8  |      0.9712  |     0.9619  |   0.9165  |               |              4.3972  |
|          |      9  |      0.9424  |     0.9766  |   0.9295  |               |              4.8238  |
|          |   eval  |      0.9424  |     0.9766  |   0.9295  |       0.9375  |              5.0671  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4238  |     0.7119  |   0.6626  |               |              0.6075  |
|          |      1  |      1.2930  |     0.7900  |   0.7179  |               |              1.1488  |
|          |      2  |      1.2041  |     0.8389  |   0.7906  |               |              1.6794  |
|          |      3  |      1.1338  |     0.8770  |   0.6675  |               |              2.1498  |
|          |      4  |      1.1348  |     0.8799  |   0.8132  |               |              2.6120  |
|          |      5  |      1.0986  |     0.8818  |   0.8501  |               |              3.0822  |
|          |      6  |      1.0234  |     0.9287  |   0.8849  |               |              3.5445  |
|          |      7  |      1.0166  |     0.9307  |   0.8973  |               |              4.0125  |
|          |      8  |      0.9771  |     0.9561  |   0.9185  |               |              4.4742  |
|          |      9  |      0.9434  |     0.9805  |   0.9296  |               |              4.9039  |
|          |   eval  |      0.9434  |     0.9805  |   0.9296  |       0.9401  |              5.1473  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4434  |     0.6973  |   0.6520  |               |              0.6118  |
|          |      1  |      1.2646  |     0.7910  |   0.7252  |               |              1.1491  |
|          |      2  |      1.2207  |     0.8311  |   0.7700  |               |              1.6831  |
|          |      3  |      1.1670  |     0.8428  |   0.8230  |               |              2.1489  |
|          |      4  |      1.1543  |     0.8486  |   0.8563  |               |              2.6127  |
|          |      5  |      1.0840  |     0.8984  |   0.8731  |               |              3.0776  |
|          |      6  |      1.0527  |     0.9131  |   0.8921  |               |              3.5421  |
|          |      7  |      1.0156  |     0.9365  |   0.9055  |               |              4.0057  |
|          |      8  |      0.9585  |     0.9707  |   0.9260  |               |              4.4697  |
|          |      9  |      0.9409  |     0.9795  |   0.9346  |               |              4.8960  |
|          |   eval  |      0.9409  |     0.9795  |   0.9346  |       0.9416  |              5.1391  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4844  |     0.6719  |   0.6370  |               |              0.5343  |
