
======================================================================
RUNNING ALL EXPERIMENTS
Total experiments: 19
Total runs: 1000
Estimated time: ~66.7 minutes (at 4s/run)
======================================================================


######################################################################
# EXPERIMENT: baseline
# Baseline: unmodified airbench94
# Runs: 100
######################################################################


============================================================
Experiment: baseline_ec2132ab
Timestamp: 2025-12-08T21:23:26.463225
Config overrides: None
Number of runs: 100
============================================================

------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      6  |      1.0449  |     0.9229  |   0.8943  |               |              2.7078  |
|          |      7  |      1.0088  |     0.9365  |   0.9068  |               |              3.0798  |
|          |      8  |      0.9707  |     0.9668  |   0.9178  |               |              3.4529  |
|          |      9  |      0.9404  |     0.9746  |   0.9310  |               |              3.7956  |
|          |   eval  |      0.9404  |     0.9746  |   0.9310  |       0.9392  |              3.9607  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4209  |     0.7070  |   0.6840  |               |              0.4412  |
|          |      1  |      1.3330  |     0.7705  |   0.5883  |               |              0.8460  |
|          |      2  |      1.1963  |     0.8379  |   0.8030  |               |              1.2537  |
|          |      3  |      1.1504  |     0.8525  |   0.7722  |               |              1.6257  |
|          |      4  |      1.1270  |     0.8711  |   0.8116  |               |              1.9992  |
|          |      5  |      1.1133  |     0.8848  |   0.8551  |               |              2.3728  |
|          |      6  |      1.0283  |     0.9316  |   0.8888  |               |              2.7435  |
|          |      7  |      1.0195  |     0.9336  |   0.8932  |               |              3.1170  |
|          |      8  |      0.9834  |     0.9590  |   0.9160  |               |              3.4894  |
|          |      9  |      0.9429  |     0.9717  |   0.9332  |               |              3.8314  |
|          |   eval  |      0.9429  |     0.9717  |   0.9332  |       0.9388  |              3.9992  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4414  |     0.6924  |   0.6755  |               |              0.4433  |
|          |      1  |      1.2588  |     0.8037  |   0.7066  |               |              0.8491  |
|          |      2  |      1.2197  |     0.8262  |   0.7664  |               |              1.2559  |
|          |      3  |      1.1611  |     0.8604  |   0.8085  |               |              1.6291  |
|          |      4  |      1.1621  |     0.8584  |   0.8374  |               |              4.0491  |
|          |      5  |      1.0898  |     0.8945  |   0.8452  |               |              4.4208  |
|          |      6  |      1.0479  |     0.9248  |   0.9008  |               |              4.7927  |
|          |      7  |      1.0322  |     0.9316  |   0.9119  |               |              5.1657  |
|          |      8  |      0.9629  |     0.9648  |   0.9255  |               |              5.5368  |
|          |      9  |      0.9443  |     0.9717  |   0.9346  |               |              5.8800  |
|          |   eval  |      0.9443  |     0.9717  |   0.9346  |       0.9418  |              6.0474  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4531  |     0.6953  |   0.6696  |               |              0.4885  |
|          |      1  |      1.2656  |     0.7969  |   0.7899  |               |              0.8955  |
|          |      2  |      1.1855  |     0.8477  |   0.7066  |               |              1.3010  |
|          |      3  |      1.1631  |     0.8672  |   0.7930  |               |              1.6749  |
|          |      4  |      1.1357  |     0.8799  |   0.8520  |               |              2.0488  |
|          |      5  |      1.0801  |     0.8926  |   0.8564  |               |              2.4224  |
|          |      6  |      1.0430  |     0.9199  |   0.8908  |               |              2.7945  |
|          |      7  |      1.0273  |     0.9258  |   0.9063  |               |              3.1672  |
|          |      8  |      0.9692  |     0.9648  |   0.9218  |               |              3.5405  |
|          |      9  |      0.9331  |     0.9844  |   0.9323  |               |              3.8841  |
|          |   eval  |      0.9331  |     0.9844  |   0.9323  |       0.9390  |              4.0504  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.3779  |     0.7549  |   0.6491  |               |              0.4086  |
|          |      1  |      1.2744  |     0.7979  |   0.7023  |               |              0.8138  |
|          |      2  |      1.2061  |     0.8438  |   0.7625  |               |              1.2244  |
